Exporting Your Strategy Backtest Results,open,high,low,close,Volume
4/29/2022,39741.21,39926.8,38161.85,38593.1,14282.27439
4/30/2022,38592.27,38795,37590,37644.1,6931.08619
5/1/2022,37640.35,38675.37,37401,38473.05,7980.91433
5/2/2022,38469.49,39181.27,38041,38510.89,17946.9979
5/3/2022,38510.88,38643.48,37505.01,37719.59,17947.00886
5/4/2022,37719.58,40038.27,37651.38,39669.56,21513.96847
5/5/2022,39669.56,39864.55,35568,36537.22,28833.01232
5/6/2022,36537.22,36664.4,35255.4,35999.1,28626.66324
5/7/2022,35999.1,36125,34785,35458,11372.46757
5/8/2022,35458,35499.93,33701,34027.91,22357.52596
5/9/2022,34033.49,34231.54,30010,30078.27,55136.46787
5/10/2022,30078.27,32645.49,29735.05,31002.39,55818.03343
5/11/2022,31002.39,32185.9,27682.38,28972.34,61530.04504
5/12/2022,28977.75,30091.2,25338.53,28941.95,70702.62369
5/13/2022,28941.95,30990,28662.7,29232.18,34643.06556
5/14/2022,29234.73,30287.58,28564.38,30041.88,15245.48249
5/15/2022,30041.9,31418.35,29436.06,31290.05,16440.90728
5/16/2022,31290.02,31293.31,29055,29839.89,22646.19959
5/17/2022,29839.89,30750,29415.01,30412.12,19833.32138
5/18/2022,30412.1,30675.92,28605,28672.94,28348.44073
5/19/2022,28671.5,30500,28645.2,30274.59,29009.98545
5/20/2022,30274.59,30729.83,28690.92,29155.75,34328.20232
5/21/2022,29155.74,29613.34,28913.26,29408.26,9998.49791
5/22/2022,29407.4,30457.9,29211,30260.87,11774.15077
5/23/2022,30258.04,30635.39,28847.72,29082.52,25413.09701
5/24/2022,29079.31,29802,28611,29626.44,17077.05318
5/25/2022,29627.61,30192.08,29296.12,29503.49,17180.58043
5/26/2022,29503.48,29850,28000,29166.06,26598.60039
5/27/2022,29166.06,29355.4,28220,28598.31,21035.55167
5/28/2022,28598.31,29239.52,28500,29008.99,7717.35819
5/29/2022,29008.99,29550,28809.84,29447.07,6727.94197
5/30/2022,29447.08,32232.16,29273.65,31711.42,24915.38703
5/31/2022,31716.67,32383.96,31195.9,31784.05,21187.79111
6/1/2022,31784.18,31964.56,29308.01,29788.79,26857.47711
6/2/2022,29789.19,30655,29558.61,30433.75,18519.1407
6/3/2022,30429.12,30674.95,29213.47,29670.85,15016.79617
6/4/2022,29672.77,29952,29454.14,29843.18,6390.77399
6/5/2022,29837.56,30158.44,29505.65,29901.54,5482.51064
6/6/2022,29899.62,31745,29866.44,31343.61,20384.92672
6/7/2022,31349.59,31549.21,29200,31106.9,23234.09554
6/8/2022,31111,31306.32,29829.98,30177,16775.54756
6/9/2022,30182.92,30679.72,29904,30079.62,13334.24925
6/10/2022,30079.59,30337.83,28821.15,29063.11,23208.78489
6/11/2022,29058.79,29411.11,28080.01,28388.63,13276.77629
6/12/2022,28395.03,28516.33,26532.95,26555.2,18661.95631
6/13/2022,26555.17,26869.35,21920,22460.97,81724.85904
6/14/2022,22460.97,23299.22,20816.4,22120.25,47382.81576
6/15/2022,22120.23,22769.12,20071,22562.33,62040.46779
